,title,price,link
10,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","23,199",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PTFFZH/ref=sr_1_80?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw&dib_tag=se&keywords=laptop&qid=1725096001&sprefix=laptop%2Caps%2C818&sr=8-80
11,"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4 + 512GB SSD/Intel UHD Graphics/15 (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill-Resistant KB/1.69kg  ","50,700",https://amazon.in//Dell-15-Processor-Antivirus-Spill-Resistant/dp/B0BQJ7WR2R/ref=sr_1_81?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw&dib_tag=se&keywords=laptop&qid=1725096001&sprefix=laptop%2Caps%2C818&sr=8-81
12,"Apple 2023 MacBook Pro (14-inch, M3 Pro chip with 11‑core CPU and 14‑core GPU, 18GB Unified Memory, 512GB) - Space Black  ","1,86,899",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDMzMDQxNzY0MTU0MDc2OjE3MjUwOTU5NTI6c3BfbXRmOjMwMDA4NTQwMzIxODMzMjo6MDo6&url=%2FApple-MacBook-14-inch-11%25E2%2580%2591core-14%25E2%2580%2591core%2Fdp%2FB0CM5SRXP8%2Fref%3Dsr_1_11_sspa%3Fcrid%3DXKITR2QKB0RK%26dib%3DeyJ2IjoiMSJ9.yBLtX5CW_7yJp0ypl9Izt5oWtWcdPBPWNaNdaPkXvBDWQGR2rNjq1o8kXLpGVUIO6UyxuPVOKuJFnFmF6p9VZl4EMvcJLqSKh4BQ8CFgmaQCAiPsGT7cshMHmcyi6tUow3wUTxmK8eAgW6W0K1IB0feo1Mq2tiIgTKjkmyeOOJOHvQxJPcZ__uKq-N0dQsPoX9qU-oIZeIAT7PGvdh-IRC2QizisxVDTAYM5R36mIJs.7N-Zt2Ra--icoEJuq8qSCOFfuyMclC8y9BFwpREYxcs%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725095952%26sprefix%3Dlaptop%252Caps%252C818%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
13,"Lenovo IdeaPad 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (4GB/256GB SDD/Windows 11 Home/1Yr ADP Free/Cloud Grey/1.3Kg), 82V6005CIN  ","20,990",https://amazon.in//Lenovo-IdeaPad-Celeron-Warranty-82V6005CIN/dp/B0C864DPY2/ref=sr_1_82?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw&dib_tag=se&keywords=laptop&qid=1725096001&sprefix=laptop%2Caps%2C818&sr=8-82
14,"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (35.5cm) WUXGA+ IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.46Kg), 83BF000UIN  ","59,841",https://amazon.in//Lenovo-IdeaPad-12450H-Backlit-83BF000UIN/dp/B0CFF518HZ/ref=sr_1_83?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw&dib_tag=se&keywords=laptop&qid=1725096001&sprefix=laptop%2Caps%2C818&sr=8-83
15,"HP 15s 12th Gen Intel Core i5, 15/6inch (39.6 cm), 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, Backlit Kb, (Win 11 Home, Natural Silver, 1.69kg), fq5202TU / fq5329TU  ","46,990",https://amazon.in//HP-Graphics-Backlit-fq5202TU-fq5329TU/dp/B0CJM5Z6FY/ref=sr_1_84?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw&dib_tag=se&keywords=laptop&qid=1725096001&sprefix=laptop%2Caps%2C818&sr=8-84
16,"HP Laptop 15s, AMD Ryzen 5 5500U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon Graphics, 720p HD Camera, Backlit KB, Thin & Light (Win 11, MSO 2021, Silver, 1.69 kg), eq2182AU/eq2305au  ","41,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3ODU4MjgwNzkzODI3OTg1OjE3MjUwOTYwMDE6c3BfYnRmOjMwMDIxNDUwNDQyNzMzMjo6MDo6&url=%2FHP-15-6-inches-Micro-Edge-Anti-Glare-15s-eq2182AU%2Fdp%2FB0B4N77Y34%2Fref%3Dsr_1_85_sspa%3Fcrid%3DXKITR2QKB0RK%26dib%3DeyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725096001%26sprefix%3Dlaptop%252Caps%252C818%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
17,"Primebook S Wifi, 2024(NEW) Android Based MediaTek MT8183 - (PrimeOS) Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C) (4GB/128GB eMMC Storage)  ","12,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3ODU4MjgwNzkzODI3OTg1OjE3MjUwOTYwMDE6c3BfYnRmOjMwMDIxMzY3MzA2MzMzMjo6MDo6&url=%2FPrimebook-Android-Based-MediaTek-MT8183%2Fdp%2FB0D2Y4KLGN%2Fref%3Dsr_1_86_sspa%3Fcrid%3DXKITR2QKB0RK%26dib%3DeyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725096001%26sprefix%3Dlaptop%252Caps%252C818%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
18,"Apple 2023 MacBook Pro (14-inch, M3 chip with 8‑core CPU and 10‑core GPU, 8GB Unified Memory, 512GB) - Silver  ","1,55,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2NjkwMDU2MDk4MjU1ODM6MTcyNTA5NjAxMjpzcF9hdGZfbmV4dDozMDAwODU0MDMyMTkxMzI6OjA6Og&url=%2FApple-MacBook-14-inch-10%25E2%2580%2591core-Unified%2Fdp%2FB0CM5RTLM1%2Fref%3Dsr_1_81_sspa%3Fcrid%3DXKITR2QKB0RK%26dib%3DeyJ2IjoiMSJ9.uZ2eLb1os97MzGTAqQ8ToDuOL__oX8qQffAKCbkF_mkyHWj5kvXbU9MjBAp1TEtwteEffWYCTSgd4CQTCP7NLJlEQiH1qsx-VuKfyGy3MUcpDkZP28SZdnXBywYkf6ubiqI1cjFyN4ADOd1aFDyG3APhRcknYRSuIS0mLngjYjShAXEqKTKqaRKMvEwnl7ec-DqA80nlHXu_xwmr-yJcnNsmibq1prBHHYST0uuHc80.r7mIRz4TVvazHgOJ2mPGulQyb5KUzg-3cmTJLTn4owc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725096012%26sprefix%3Dlaptop%252Caps%252C818%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
19,"Chuwi CoreBook X i5 14"" Laptop, 16GB RAM 512GB SSD, Windows 11, Intel Core i5-1035G1 (Upto 3.6GHz), WIFI 6, USB3.2, Backlit Keyboard, Webcam, Bluetooth 5.2, HDMI Port, 46.2 Wh, 1.4kg (Gray)  ","24,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo2NjkwMDU2MDk4MjU1ODM6MTcyNTA5NjAxMjpzcF9hdGZfbmV4dDozMDAxMTE2NTk2NTkxMzI6OjA6Og&url=%2FChuwi-CoreBook-i5-1035G1-Keyboard-Bluetooth%2Fdp%2FB0CNT6LD6W%2Fref%3Dsr_1_82_sspa%3Fcrid%3DXKITR2QKB0RK%26dib%3DeyJ2IjoiMSJ9.uZ2eLb1os97MzGTAqQ8ToDuOL__oX8qQffAKCbkF_mkyHWj5kvXbU9MjBAp1TEtwteEffWYCTSgd4CQTCP7NLJlEQiH1qsx-VuKfyGy3MUcpDkZP28SZdnXBywYkf6ubiqI1cjFyN4ADOd1aFDyG3APhRcknYRSuIS0mLngjYjShAXEqKTKqaRKMvEwnl7ec-DqA80nlHXu_xwmr-yJcnNsmibq1prBHHYST0uuHc80.r7mIRz4TVvazHgOJ2mPGulQyb5KUzg-3cmTJLTn4owc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725096012%26sprefix%3Dlaptop%252Caps%252C818%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
20,"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Mixed Black/1.63 kg), E1504FA-NJ542WS  ","43,990",https://amazon.in//ASUS-Vivobook-Laptop-Windows-E1504FA-NJ542WS/dp/B0BTWF2BQX/ref=sr_1_83?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.uZ2eLb1os97MzGTAqQ8ToDuOL__oX8qQffAKCbkF_mkyHWj5kvXbU9MjBAp1TEtwteEffWYCTSgd4CQTCP7NLJlEQiH1qsx-VuKfyGy3MUcpDkZP28SZdnXBywYkf6ubiqI1cjFyN4ADOd1aFDyG3APhRcknYRSuIS0mLngjYjShAXEqKTKqaRKMvEwnl7ec-DqA80nlHXu_xwmr-yJcnNsmibq1prBHHYST0uuHc80.r7mIRz4TVvazHgOJ2mPGulQyb5KUzg-3cmTJLTn4owc&dib_tag=se&keywords=laptop&qid=1725096012&sprefix=laptop%2Caps%2C818&sr=8-83
21,"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H,4GB RTX 2050 GPU,15.6-inch(39.6 cm),FHD,IPS,144Hz,16GB DDR4,512GB SSD,Backlit KB,MSO,B&O,9ms Response time(Blue, 2.29 kg),fa1373TX/fa1227TX  ","59,338",https://amazon.in//HP-i5-12450H-15-6-inch-Response-fa1373TX/dp/B0D2DDJ6PJ/ref=sr_1_84?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.uZ2eLb1os97MzGTAqQ8ToDuOL__oX8qQffAKCbkF_mkyHWj5kvXbU9MjBAp1TEtwteEffWYCTSgd4CQTCP7NLJlEQiH1qsx-VuKfyGy3MUcpDkZP28SZdnXBywYkf6ubiqI1cjFyN4ADOd1aFDyG3APhRcknYRSuIS0mLngjYjShAXEqKTKqaRKMvEwnl7ec-DqA80nlHXu_xwmr-yJcnNsmibq1prBHHYST0uuHc80.r7mIRz4TVvazHgOJ2mPGulQyb5KUzg-3cmTJLTn4owc&dib_tag=se&keywords=laptop&qid=1725096012&sprefix=laptop%2Caps%2C818&sr=8-84
22,"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.56cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Win11/MSO 21/FHD+IR Camera/1Yr ADP Free/3 Mon Game Pass/Grey/1.4Kg), 83D2001GIN  ","1,09,990",https://amazon.in//Lenovo-IdeaPad-35-56cm-2-8K-OLED-83D2001GIN/dp/B0CY2LDT1S/ref=sr_1_85?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.uZ2eLb1os97MzGTAqQ8ToDuOL__oX8qQffAKCbkF_mkyHWj5kvXbU9MjBAp1TEtwteEffWYCTSgd4CQTCP7NLJlEQiH1qsx-VuKfyGy3MUcpDkZP28SZdnXBywYkf6ubiqI1cjFyN4ADOd1aFDyG3APhRcknYRSuIS0mLngjYjShAXEqKTKqaRKMvEwnl7ec-DqA80nlHXu_xwmr-yJcnNsmibq1prBHHYST0uuHc80.r7mIRz4TVvazHgOJ2mPGulQyb5KUzg-3cmTJLTn4owc&dib_tag=se&keywords=laptop&qid=1725096012&sprefix=laptop%2Caps%2C818&sr=8-85
